gene,mean_AD,mean_Control,log2FC,t_stat,p_value,p_adj
LUC7L3,13.381754691005309,11.40639112907883,1.9753635619264784,7.4993137608886045,3.055162635541372e-07,2.9360112927552583e-05
RPL37A,14.420814214171932,13.353165253442363,1.067648960729569,8.323711552239557,3.093246341899703e-07,2.9458294666866453e-05
TBL3,4.459355213837394,8.334207306645864,-3.874852092808469,-7.94919452356681,3.129282385021178e-07,2.9535396510766848e-05
USP14,9.326592309538983,10.119437519844592,-0.7928452103056092,-7.332159627169191,3.255111620374668e-07,2.992155212085271e-05
C15orf61,9.361044448256456,10.504742768657648,-1.1436983204011923,-7.668660543538676,3.244640518009638e-07,2.992155212085271e-05
PLP1,12.681270887174922,10.781969290904252,1.8993015962706696,7.350987484101692,3.2159480347107294e-07,2.992155212085271e-05
CHRM1,6.886276694225477,10.467804299154212,-3.581527604928735,-7.669769777799666,3.3174028991779606e-07,3.0231263833801915e-05
TP53INP1,8.328741719977536,5.954846091959036,2.3738956280185004,7.338528152927719,3.369787010121626e-07,3.0446169644440778e-05
ZNF24,9.510491874257834,8.42278202754647,1.0877098467113644,7.472607201534532,3.6777777114336953e-07,3.0612431643752436e-05
TECR,7.287866840827047,10.359394220235117,-3.07152737940807,-7.308115984185461,3.5901252862603e-07,3.0612431643752436e-05
MIOS,8.102104772942981,9.141873977272033,-1.0397692043290512,-7.724784746463253,3.5110414994897593e-07,3.0612431643752436e-05
FLJ22184,6.585422045136352,10.37335121644073,-3.787929171304378,-7.298419413041568,3.60287102322704e-07,3.0612431643752436e-05
C14orf28,8.880333407392996,7.428533505330483,1.451799902062513,7.306801479988907,3.461594313320724e-07,3.0612431643752436e-05
CSPG5,12.316103880582109,10.697553899821274,1.6185499807608341,7.629053195073349,3.5029295438045577e-07,3.0612431643752436e-05
ERBB2IP,11.098543090019827,8.348987415564649,2.749555674455179,8.200128636201372,3.496409635451519e-07,3.0612431643752436e-05
CLDN11,10.348898932125767,7.9363311083966135,2.4125678237291535,7.556055525080568,3.670533151965562e-07,3.0612431643752436e-05
NEK7,9.21804664502306,7.179787721063729,2.038258923959331,7.280246746639636,3.63953042155096e-07,3.0612431643752436e-05
RHOU,10.618308262982264,8.473792491528162,2.1445157714541025,7.354968051853918,3.6388660582674553e-07,3.0612431643752436e-05
GPBP1L1,8.2998029613716,7.027839178258914,1.271963783112687,7.592921694450784,3.8202268732517387e-07,3.154664948570709e-05
VPS45,8.577478336369655,9.727971958201856,-1.1504936218322008,-7.420993049744126,3.90938518837161e-07,3.154664948570709e-05
ACTL6B,4.788640503667946,9.191342426501457,-4.402701922833511,-7.258812052317342,3.9016111622610313e-07,3.154664948570709e-05
SLC4A8,10.258631682425932,9.01166157694512,1.2469701054808127,7.243426138794885,3.908166075285313e-07,3.154664948570709e-05
EIF1AX,11.53799146826132,10.153332016150594,1.384659452110725,7.797331342736013,3.9595098588183946e-07,3.1709074786037305e-05
NDRG1,11.266209104332413,9.137500351344977,2.1287087529874356,8.783568066695336,4.168639373484993e-07,3.313284723090967e-05
IRF2BP2,12.144689100633476,9.731648510936365,2.413040589697111,8.788313953998404,4.2445889137902843e-07,3.3236703264946e-05
PCYOX1,9.42016875898129,10.897129656140567,-1.4769608971592767,-7.245422708490008,4.2203764666526266e-07,3.3236703264946e-05
ATXN1,10.79866736415808,9.596213259259288,1.2024541048987913,7.939206703430217,4.320342686492804e-07,3.358113421979076e-05
SERP2,8.486421722178463,10.167539544514586,-1.6811178223361232,-7.195931554428645,4.3628945086407283e-07,3.366434879623441e-05
TENM3,8.247345037321441,9.534256437444807,-1.2869114001233655,-7.1858440644974095,4.4425444052458046e-07,3.403053399119811e-05
ERMN,9.808344069519098,8.179199040426743,1.6291450290923546,7.170386508166398,4.57907619764009e-07,3.4774880046513307e-05
SHF,6.417494472013146,8.260707306412653,-1.8432128343995071,-8.127723733341021,4.6384051523586947e-07,3.4774880046513307e-05
SLC31A2,8.04386124151728,6.756472592888138,1.2873886486291424,7.1796435006723724,4.61803683476167e-07,3.4774880046513307e-05
AMER2,13.048813310141792,11.058444651894648,1.990368658247144,7.516724001583388,4.6874566235963674e-07,3.489514363946282e-05
LINC00094,8.12993565733051,9.720580936421232,-1.5906452790907224,-7.5065465720190385,4.772313821642764e-07,3.527841217383612e-05
TSC22D2,10.72666617867731,8.604688901721499,2.1219772769558105,8.248214728327207,4.93406121189268e-07,3.6220806299248284e-05
FRYL,8.842623312698308,6.992835903336009,1.8497874093622988,7.133894423016817,5.020142354117463e-07,3.6598568845086694e-05
ATP13A2,7.210720142408485,9.179397172177865,-1.9686770297693794,-7.622528913471167,5.118893907668351e-07,3.702262568284046e-05
LOC102724356,10.46852249747886,8.12448243598937,2.3440400614894905,7.250703693780694,5.148354910015653e-07,3.702262568284046e-05
NOTCH2NL,11.270954439704775,8.394706568271147,2.8762478714336286,7.1153123955121185,5.235868635361874e-07,3.739754550297998e-05
ENPP2,10.272345788395146,8.451563477096135,1.820782311299011,7.174065335519507,5.661548426838451e-07,4.0166596255106894e-05
FBXO16,6.912139468882771,8.628191255047149,-1.7160517861643783,-7.194520776550403,5.858256555194566e-07,4.0475575192785465e-05
MROH1,7.705422647407086,9.84500240404451,-2.139579756637425,-7.241143752095319,5.802901436586089e-07,4.0475575192785465e-05
MAST3,9.046554784392908,10.886230916695052,-1.8396761323021433,-8.002895409419828,5.787559684271082e-07,4.0475575192785465e-05
TRMT1,6.739788909599028,8.618564688285495,-1.8787757786864674,-7.124269066998052,5.851569042846856e-07,4.0475575192785465e-05
REEP3,8.799784330991193,6.926581044389542,1.8732032866016501,7.051535541567785,5.940390880547954e-07,4.077654025861845e-05
